hmdb_id	name	pubchem_id	kegg_id	exactmass	formula	inchi_key	super_class	main_class	sub_class	synonym
HMDB05363	TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso3]	9544125	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso3]; TG(16:0/16:0/20:4)[iso3]; TG 16:0/16:0/20:4 [iso3]; 1-Palmitoyl-2-palmitoyl-3-arachidonoyl-glycerol; TAG(16:0/16:0/20:4); TAG(16:0/16:0/20:4n6); TAG(16:0/16:0/20:4w6); TAG(52:4); TG(16:0/16:0/20:4); TG(16:0/16:0/20:4n6); TG(16:0/16:0/20:4w6); TG(52:4); Tracylglycerol(16:0/16:0/20:4); Tracylglycerol(16:0/16:0/20:4n6); Tracylglycerol(16:0/16:0/20:4w6); Tracylglycerol(52:4); Triacylglycerol; Triglyceride
HMDB05367	TG(16:0/18:0/18:1(9Z))[iso6]	5365005	NA	NA	NA	NA	NA	NA	NA	TG(16:0/18:0/18:1(9Z))[iso6]; TG(16:0/18:0/18:1)[iso6]; TG 16:0/18:0/18:1 [iso6]; 1-Palmitoyl-2-stearoyl-3-oleoyl-glycerol; TAG(16:0/18:0/18:1); TAG(16:0/18:0/18:1n9); TAG(16:0/18:0/18:1w9); TAG(52:1); TG(16:0/18:0/18:1); TG(16:0/18:0/18:1n9); TG(16:0/18:0/18:1w9); TG(52:1); Tracylglycerol(16:0/18:0/18:1); Tracylglycerol(16:0/18:0/18:1n9); Tracylglycerol(16:0/18:0/18:1w9); Tracylglycerol(52:1); Triacylglycerol; Triglyceride
HMDB05369	TG(16:0/18:0/18:2(9Z,12Z))[iso6]	9544069	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/18:0/18:2(9Z,12Z))[iso6]; TG(16:0/18:0/18:2)[iso6]; TG 16:0/18:0/18:2 [iso6]; 1-Palmitoyl-2-stearoyl-3-linoleoyl-glycerol; TAG(16:0/18:0/18:2); TAG(16:0/18:0/18:2n6); TAG(16:0/18:0/18:2w6); TAG(52:2); TG(16:0/18:0/18:2); TG(16:0/18:0/18:2n6); TG(16:0/18:0/18:2w6); TG(52:2); Tracylglycerol(16:0/18:0/18:2); Tracylglycerol(16:0/18:0/18:2n6); Tracylglycerol(16:0/18:0/18:2w6); Tracylglycerol(52:2); Triacylglycerol; Triglyceride
HMDB05370	TG(16:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6]	9544279	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6]; TG(16:0/18:0/20:4)[iso6]; TG 16:0/18:0/20:4 [iso6]; 1-Palmitoyl-2-stearoyl-3-arachidonoyl-glycerol; TAG(16:0/18:0/20:4); TAG(16:0/18:0/20:4n6); TAG(16:0/18:0/20:4w6); TAG(54:4); TG(16:0/18:0/20:4); TG(16:0/18:0/20:4n6); TG(16:0/18:0/20:4w6); TG(54:4); Tracylglycerol(16:0/18:0/20:4); Tracylglycerol(16:0/18:0/20:4n6); Tracylglycerol(16:0/18:0/20:4w6); Tracylglycerol(54:4); Triacylglycerol; Triglyceride
HMDB05376	TG(16:0/16:1(9Z)/16:1(9Z))[iso3]	9543987	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/16:1(9Z)/16:1(9Z))[iso3]; TG(16:0/16:1/16:1)[iso3]; TG 16:0/16:1/16:1 [iso3]; 1-Palmitoyl-2-palmitoleoyl-3-palmitoleoyl-glycerol; TAG(16:0/16:1/16:1); TAG(16:0/16:1n7/16:1n7); TAG(16:0/16:1w7/16:1w7); TAG(48:2); TG(16:0/16:1/16:1); TG(16:0/16:1n7/16:1n7); TG(16:0/16:1w7/16:1w7); TG(48:2); Tracylglycerol(16:0/16:1/16:1); Tracylglycerol(16:0/16:1n7/16:1n7); Tracylglycerol(16:0/16:1w7/16:1w7); Tracylglycerol(48:2); Triacylglycerol; Triglyceride
HMDB05377	TG(16:0/16:1(9Z)/18:1(9Z))[iso6]	9544011	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/16:1(9Z)/18:1(9Z))[iso6]; TG(16:0/16:1/18:1)[iso6]; TG 16:0/16:1/18:1 [iso6]; 1-Palmitoyl-2-palmitoleoyl-3-oleoyl-glycerol; TAG(16:0/16:1/18:1); TAG(16:0/16:1n7/18:1n9); TAG(16:0/16:1w7/18:1w9); TAG(50:2); TG(16:0/16:1/18:1); TG(16:0/16:1n7/18:1n9); TG(16:0/16:1w7/18:1w9); TG(50:2); Tracylglycerol(16:0/16:1/18:1); Tracylglycerol(16:0/16:1n7/18:1n9); Tracylglycerol(16:0/16:1w7/18:1w9); Tracylglycerol(50:2); Triacylglycerol; Triglyceride
HMDB05380	TG(16:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]	9544150	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]; TG(16:0/16:1/20:4)[iso6]; TG 16:0/16:1/20:4 [iso6]; 1-Palmitoyl-2-palmitoleoyl-3-arachidonoyl-glycerol; TAG(16:0/16:1/20:4); TAG(16:0/16:1n7/20:4n6); TAG(16:0/16:1w7/20:4w6); TAG(52:5); TG(16:0/16:1/20:4); TG(16:0/16:1n7/20:4n6); TG(16:0/16:1w7/20:4w6); TG(52:5); Tracylglycerol(16:0/16:1/20:4); Tracylglycerol(16:0/16:1n7/20:4n6); Tracylglycerol(16:0/16:1w7/20:4w6); Tracylglycerol(52:5); Triacylglycerol; Triglyceride
HMDB05384	TG(16:0/18:1(9Z)/18:2(9Z,12Z))[iso6]	25240361	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/18:1(9Z)/18:2(9Z,12Z))[iso6]; TG(16:0/18:1/18:2)[iso6]; TG 16:0/18:1/18:2 [iso6]; 1-Palmitoyl-2-oleoyl-3-linoleoyl-glycerol; TAG(16:0/18:1/18:2); TAG(16:0/18:1n9/18:2n6); TAG(16:0/18:1w9/18:2w6); TAG(52:3); TG(16:0/18:1/18:2); TG(16:0/18:1n9/18:2n6); TG(16:0/18:1w9/18:2w6); TG(52:3); Tracylglycerol(16:0/18:1/18:2); Tracylglycerol(16:0/18:1n9/18:2n6); Tracylglycerol(16:0/18:1w9/18:2w6); Tracylglycerol(52:3); Triacylglycerol; Triglyceride
HMDB05385	TG(16:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]	9544319	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]; TG(16:0/18:1/20:4)[iso6]; TG 16:0/18:1/20:4 [iso6]; 1-Palmitoyl-2-oleoyl-3-arachidonoyl-glycerol; TAG(16:0/18:1/20:4); TAG(16:0/18:1n9/20:4n6); TAG(16:0/18:1w9/20:4w6); TAG(54:5); TG(16:0/18:1/20:4); TG(16:0/18:1n9/20:4n6); TG(16:0/18:1w9/20:4w6); TG(54:5); Tracylglycerol(16:0/18:1/20:4); Tracylglycerol(16:0/18:1n9/20:4n6); Tracylglycerol(16:0/18:1w9/20:4w6); Tracylglycerol(54:5); Triacylglycerol; Triglyceride
HMDB05391	TG(16:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]	9544362	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]; TG(16:0/18:2/20:4)[iso6]; TG 16:0/18:2/20:4 [iso6]; 1-Palmitoyl-2-linoleoyl-3-arachidonoyl-glycerol; TAG(16:0/18:2/20:4); TAG(16:0/18:2n6/20:4n6); TAG(16:0/18:2w6/20:4w6); TAG(54:6); TG(16:0/18:2/20:4); TG(16:0/18:2n6/20:4n6); TG(16:0/18:2w6/20:4w6); TG(54:6); Tracylglycerol(16:0/18:2/20:4); Tracylglycerol(16:0/18:2n6/20:4n6); Tracylglycerol(16:0/18:2w6/20:4w6); Tracylglycerol(54:6); Triacylglycerol; Triglyceride
